Timestep	Iteration	Value_Loss	AverageReturn	MaxAvgReturn	Exploration	LearningRate
60000	63	0.006863444	-20.095238095238095	-inf	0.946	0.0001
70000	74	0.012502498	-20.135135135135137	-inf	0.9369999999999999	0.0001
80000	84	0.005038283	-20.154761904761905	-inf	0.9279999999999999	0.0001
90000	95	0.0026318086	-20.13684210526316	-inf	0.919	0.0001
100000	106	0.0064087566	-20.14	-20.14	0.91	0.0001
110000	116	0.0020564825	-20.16	-20.14	0.901	0.0001
120000	128	0.0043772953	-20.16	-20.13	0.892	0.0001
130000	139	0.0019938287	-20.19	-20.13	0.883	0.0001
140000	150	0.010596003	-20.24	-20.13	0.874	0.0001
150000	160	0.0016682773	-20.21	-20.13	0.865	0.0001
160000	171	0.022259153	-20.21	-20.13	0.856	0.0001
170000	181	0.0021852283	-20.21	-20.13	0.847	0.0001
180000	192	0.0066469307	-20.23	-20.13	0.838	0.0001
190000	203	0.008711366	-20.2	-20.13	0.829	0.0001
200000	214	0.0021890425	-20.24	-20.13	0.82	0.0001
210000	225	0.006017625	-20.25	-20.13	0.8109999999999999	0.0001
220000	236	0.006625183	-20.26	-20.13	0.802	0.0001
230000	248	0.014003609	-20.33	-20.13	0.7929999999999999	0.0001
240000	259	0.00476063	-20.33	-20.13	0.784	0.0001
250000	270	0.0052830046	-20.37	-20.13	0.775	0.0001
260000	280	0.012664775	-20.4	-20.13	0.766	0.0001
270000	289	0.029867046	-20.4	-20.13	0.757	0.0001
280000	300	0.0060462803	-20.41	-20.13	0.748	0.0001
290000	310	0.010108061	-20.36	-20.13	0.739	0.0001
300000	321	0.048033066	-20.41	-20.13	0.73	0.0001
310000	331	0.057473768	-20.35	-20.13	0.721	0.0001
320000	342	0.017549109	-20.31	-20.13	0.712	0.0001
330000	352	0.087261245	-20.28	-20.13	0.703	0.0001
340000	361	0.01639009	-20.23	-20.13	0.694	0.0001
350000	371	0.028968286	-20.17	-20.13	0.685	0.0001
360000	381	0.013452415	-20.08	-20.08	0.6759999999999999	0.0001
370000	390	0.013561159	-20.06	-20.06	0.667	0.0001
380000	399	0.056158684	-20.0	-19.98	0.6579999999999999	0.0001
390000	408	0.018851308	-19.9	-19.89	0.649	0.0001
400000	417	0.04146064	-19.85	-19.85	0.6399999999999999	0.0001
410000	426	0.037443098	-19.8	-19.79	0.631	0.0001
420000	434	0.02079477	-19.8	-19.79	0.622	0.0001
430000	443	0.058654442	-19.77	-19.77	0.613	0.0001
440000	451	0.038788326	-19.64	-19.64	0.604	0.0001
450000	459	0.009213151	-19.59	-19.59	0.595	0.0001
460000	467	0.0697128	-19.46	-19.46	0.586	0.0001
470000	475	0.05561261	-19.35	-19.34	0.577	0.0001
480000	483	0.14401715	-19.32	-19.32	0.5680000000000001	0.0001
490000	490	0.08071913	-19.24	-19.23	0.5589999999999999	0.0001
500000	497	0.057088517	-19.13	-19.13	0.55	0.0001
510000	504	0.051392097	-19.16	-19.12	0.5409999999999999	0.0001
520000	511	0.026938977	-19.07	-19.06	0.532	0.0001
530000	518	0.05009256	-18.91	-18.91	0.5229999999999999	0.0001
540000	525	0.05150883	-18.75	-18.75	0.514	0.0001
550000	531	0.28940326	-18.55	-18.55	0.5049999999999999	0.0001
560000	537	0.026579587	-18.4	-18.4	0.4959999999999999	0.0001
570000	545	0.019389125	-18.36	-18.34	0.487	0.0001
580000	550	0.022164412	-18.2	-18.2	0.478	0.0001
